ID,Gender,DOB,CollegeID,CollegeTier,Degree,Specialization,CollegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Salary
924541,f,1992-02-25,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2014,210000
512353,m,1991-10-25,3603,2,B.Tech/B.E.,computer science & engineering,66,3603,0,Maharashtra,2013,400000
1136577,m,1991-05-22,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2013,360000
781327,m,1987-11-21,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2013,240000
764522,f,1992-01-14,85,2,MCA,computer application,80,85,0,Haryana,2014,120000
203323,m,1986-11-03,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2011,430000
267354,m,1988-08-05,7564,2,B.Tech/B.E.,electronics and communication engineering,70,7564,0,Haryana,2011,120000
839626,f,1991-04-10,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2012,120000
1169332,f,1990-03-09,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2012,120000
669692,m,1992-05-04,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2013,600000
48029,m,1988-12-20,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2010,500000
1268344,m,1990-03-10,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2014,240000
1274612,m,1989-09-17,267,2,B.Tech/B.E.,electronics and communication engineering,76.5,267,0,Punjab,2012,200000
230553,m,1992-05-01,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2011,80000
1259836,m,1992-02-26,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2013,330000
634352,f,1990-04-04,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2013,450000
977034,m,1990-06-18,285,1,MCA,computer application,77.5,285,0,Punjab,2014,240000
668869,m,1991-09-01,6566,2,B.Tech/B.E.,electronics and communication engineering,81,6566,1,Karnataka,2013,325000
915600,m,1991-06-26,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,215000
628753,m,1991-12-22,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2013,315000
1036215,m,1992-05-03,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2014,220000
955352,m,1991-12-08,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2014,180000
449417,m,1988-01-01,2088,2,MCA,computer application,85,2088,0,Orissa,2012,240000
1038837,m,1990-09-21,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2013,60000
309954,m,1991-12-08,5050,2,B.Tech/B.E.,computer engineering,71,5050,0,Rajasthan,2012,165000
54289,m,1986-09-27,1753,2,MCA,computer application,63,1753,0,Karnataka,2013,180000
615097,m,1991-11-14,272,2,MCA,computer application,69.7,272,0,Punjab,2014,150000
96613,m,1988-10-07,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2010,370000
542950,m,1991-08-21,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2013,145000
781196,m,1991-02-09,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2013,100000
38441,m,1984-11-19,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2010,300000
1269557,m,1990-07-30,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2014,240000
512864,m,1990-09-10,77,2,B.Tech/B.E.,electronics and electrical engineering,64,77,0,Uttar Pradesh,2012,500000
390353,m,1990-04-14,3717,2,B.Tech/B.E.,electronics and communication engineering,75,3717,1,Karnataka,2012,300000
1230200,m,1990-07-12,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2014,300000
206976,m,1990-03-02,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2011,510000
908780,f,1993-10-14,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2014,150000
982729,m,1993-02-24,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2014,240000
385303,m,1990-07-02,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,145000
355322,m,1991-06-03,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2012,240000
730991,m,1990-10-07,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2013,310000
326762,m,1991-07-26,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2012,450000
125654,m,1987-05-20,3694,2,MCA,computer application,76,3694,0,Andhra Pradesh,2010,380000
984121,f,1992-03-20,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2014,300000
744799,m,1992-06-01,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2013,300000
1048133,m,1992-07-22,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2013,200000
1094787,m,1992-02-09,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2014,170000
661812,f,1991-09-23,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2013,95000
818701,m,1989-12-15,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2012,335000
1063653,m,1991-11-14,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2013,110000
189121,m,1990-03-04,4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2011,450000
640037,f,1991-06-22,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2013,200000
906284,m,1993-07-26,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2014,310000
330544,m,1991-02-25,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2012,200000
643957,m,1990-12-22,462,2,B.Tech/B.E.,information science engineering,57,462,1,Karnataka,2013,240000
335906,f,1991-05-24,1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2012,300000
657409,m,1992-01-08,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2013,75000
271549,m,1989-02-26,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2011,330000
964017,m,1993-02-14,1428,2,B.Tech/B.E.,information technology,65,1428,1,Telangana,2014,140000
1066577,m,1992-10-18,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2014,320000
87319,m,1986-10-27,403,2,B.Tech/B.E.,mechanical engineering,64,403,0,Madhya Pradesh,2010,1210000
962441,m,1992-08-10,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2014,700000
335296,m,1989-08-17,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2012,120000
833277,m,1991-02-28,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2014,200000
239756,m,1989-04-10,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2011,315000
555652,m,1990-11-14,1866,2,B.Tech/B.E.,electronics and electrical engineering,70,1866,1,Karnataka,2013,305000
543832,m,1992-08-01,55,2,B.Tech/B.E.,electronics and communication engineering,68.56,55,0,Uttar Pradesh,2013,335000
244546,m,1989-03-03,3427,2,B.Tech/B.E.,electronics and communication engineering,70.1,3427,0,Orissa,2011,410000
610635,f,1991-01-24,7700,1,B.Tech/B.E.,computer science & engineering,76.24,7700,1,Delhi,2013,200000
1076441,m,1991-06-20,15854,2,B.Tech/B.E.,electronics and communication engineering,68.2,15854,1,Telangana,2013,315000
754392,m,1992-02-18,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2013,120000
330813,f,1990-05-31,9557,2,B.Tech/B.E.,electronics and communication engineering,83,9557,1,Telangana,2012,310000
1072316,m,1990-10-15,1388,1,B.Tech/B.E.,electronics and electrical engineering,72.3,1388,0,Haryana,2013,375000
1242113,m,1992-06-03,6545,2,B.Tech/B.E.,instrumentation engineering,66.93,6545,0,Uttar Pradesh,2014,240000
1084099,m,1990-12-19,8946,2,B.Tech/B.E.,computer science & engineering,63,8946,1,Telangana,2013,295000
435378,m,1990-04-08,11982,2,B.Tech/B.E.,mechanical engineering,61,11982,0,Orissa,2012,360000
108999,f,1987-02-26,1279,2,B.Tech/B.E.,electronics and communication engineering,61.8,1279,0,Karnataka,2010,260000
982410,m,1992-07-05,184,2,B.Tech/B.E.,computer science & engineering,70.68,184,0,Uttar Pradesh,2014,180000
1251678,m,1990-12-23,6884,2,B.Tech/B.E.,computer science & engineering,75.03,6884,0,West Bengal,2013,100000
920550,f,1993-08-10,55,2,B.Tech/B.E.,computer science & engineering,71.1,55,0,Uttar Pradesh,2014,160000
134985,m,1983-10-23,1424,2,MCA,computer application,79,1424,0,West Bengal,2010,310000
1062180,m,1991-06-28,13801,2,B.Tech/B.E.,electronics and communication engineering,68.9,13801,0,Madhya Pradesh,2013,80000
1219078,m,1991-07-17,11154,2,B.Tech/B.E.,computer science & engineering,81.5,11154,1,West Bengal,2014,325000
333542,f,1990-11-12,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2012,400000
619605,m,1991-06-28,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2013,475000
921298,m,1993-05-28,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2014,180000
343541,f,1991-02-02,11368,2,B.Tech/B.E.,electronics and communication engineering,77.25,11368,0,Uttar Pradesh,2012,250000
1284293,m,1992-06-20,17782,2,MCA,computer application,72,17782,0,Uttarakhand,2015,150000
53838,m,1987-06-12,1268,2,MCA,computer application,85.2,1268,0,Orissa,2010,100000
1261333,m,1992-05-16,473,2,B.Tech/B.E.,information technology,61.86,473,1,Maharashtra,2014,300000
52923,m,1989-08-16,472,2,B.Tech/B.E.,information technology,55.6,472,1,Maharashtra,2010,465000
332800,m,1990-07-10,7600,2,B.Tech/B.E.,electronics and communication engineering,61,7600,0,Uttar Pradesh,2013,200000
1190691,m,1993-03-16,18409,2,B.Tech/B.E.,computer science and technology,63,18409,0,Uttarakhand,2014,360000
196482,m,1989-09-16,115,2,B.Tech/B.E.,electronics and communication engineering,77,115,0,Punjab,2011,400000
110863,m,1988-08-04,964,2,B.Tech/B.E.,electronics and communication engineering,68.4,964,1,Telangana,2010,720000
79007,m,1987-08-26,137,2,B.Tech/B.E.,information technology,73.06,137,0,Uttar Pradesh,2010,505000
263901,f,1990-01-16,2513,2,B.Tech/B.E.,computer engineering,68,2513,0,Rajasthan,2011,380000
552730,f,1992-03-07,7542,2,B.Tech/B.E.,computer science & engineering,69.78,7542,1,Delhi,2013,375000
111273,m,1988-11-05,992,2,B.Tech/B.E.,electronics and communication engineering,67.45,992,1,Gujarat,2010,290000
604198,m,1990-03-09,28,2,B.Tech/B.E.,computer science & engineering,68,28,1,Delhi,2013,350000
30122,m,1985-07-20,350,2,MCA,computer application,59,350,0,Uttar Pradesh,2010,100000
920332,m,1991-09-03,55,2,MCA,computer application,77.7,55,0,Uttar Pradesh,2014,230000
282000,m,1989-03-23,4450,2,B.Tech/B.E.,information technology,65.48,4450,0,Uttar Pradesh,2011,315000
1083018,m,1992-08-25,2921,2,B.Tech/B.E.,electronics and communication engineering,86,2921,0,West Bengal,2014,615000
1069526,m,1991-04-12,5752,2,B.Tech/B.E.,computer science & engineering,65.7,5752,1,Telangana,2013,200000
810018,m,1992-09-21,350,2,B.Tech/B.E.,information technology,62.44,350,0,Uttar Pradesh,2014,180000
1262987,m,1992-12-04,15807,2,B.Tech/B.E.,mechanical engineering,63,15807,1,Telangana,2014,260000
53921,m,1988-03-25,83,2,B.Tech/B.E.,information technology,80,83,0,Uttar Pradesh,2010,1110000
281866,m,1988-06-25,4450,2,B.Tech/B.E.,electronics and electrical engineering,64.5,4450,0,Uttar Pradesh,2011,170000
1098849,m,1991-11-05,992,2,B.Tech/B.E.,information technology,80,992,1,Gujarat,2013,180000
827639,m,1993-02-01,47,1,B.Tech/B.E.,electronics and communication engineering,72.7,47,1,Delhi,2014,340000
133296,m,1988-12-20,4948,2,B.Tech/B.E.,computer engineering,66,4948,1,Rajasthan,2010,145000
878844,m,1993-03-18,9738,2,B.Tech/B.E.,information technology,65.06,9738,0,Uttar Pradesh,2014,120000
295362,f,1989-07-25,1034,2,B.Tech/B.E.,electronics and communication engineering,76,1034,0,Tamil Nadu,2011,180000
811394,m,1990-04-22,47,1,B.Tech/B.E.,electronics and communication engineering,72.5,47,1,Delhi,2014,325000
879261,m,1987-03-24,3496,2,B.Tech/B.E.,mechanical engineering,72.02,3496,0,Maharashtra,2012,95000
530147,m,1993-11-07,11759,2,B.Tech/B.E.,mechanical engineering,83.5,11759,0,Uttarakhand,2013,205000
815714,f,1991-10-09,5717,2,B.Tech/B.E.,computer science & engineering,64.66,5717,0,Maharashtra,2013,280000
1290109,m,1990-11-04,12737,2,B.Tech/B.E.,computer engineering,61.36,12737,1,Rajasthan,2014,215000
729532,m,1991-08-11,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000,1,Telangana,2013,200000
1058583,m,1990-03-31,3720,2,B.Tech/B.E.,computer science & engineering,67.8,3720,0,Madhya Pradesh,2011,350000
390616,m,1990-10-07,7495,2,B.Tech/B.E.,computer engineering,63.33,7495,0,Maharashtra,2012,190000
283428,m,1990-04-05,374,2,B.Tech/B.E.,information technology,68.1,374,0,Uttar Pradesh,2011,520000
64844,m,1987-07-10,1109,2,B.Tech/B.E.,electronics and communication engineering,53,1109,1,Karnataka,2010,335000
359993,m,1990-05-20,1245,2,B.Tech/B.E.,computer engineering,64,1245,1,Tamil Nadu,2012,220000
82837,m,1990-03-15,580,1,B.Tech/B.E.,electronics & instrumentation eng,67.23,580,0,Uttar Pradesh,2011,450000
239715,m,1989-12-01,1866,2,B.Tech/B.E.,electronics and communication engineering,68.3,1866,1,Karnataka,2011,445000
831320,m,1993-05-20,9748,2,B.Tech/B.E.,information technology,69.96,9748,1,Telangana,2014,200000
601131,m,1991-03-25,272,2,B.Tech/B.E.,electronics and communication engineering,87.9,272,0,Punjab,2013,420000
1199988,m,1993-06-17,12867,2,B.Tech/B.E.,computer science & engineering,74,12867,0,Andhra Pradesh,2014,100000
324330,m,1990-01-22,993,2,B.Tech/B.E.,information technology,58.66,993,1,Maharashtra,2012,120000
1112865,m,1992-09-04,14697,2,B.Tech/B.E.,electronics & telecommunications,70,14697,0,Maharashtra,2014,315000
305041,f,1990-01-18,5232,2,B.Tech/B.E.,computer engineering,70,5232,0,Haryana,2011,480000
1062173,m,1992-06-29,4557,2,B.Tech/B.E.,computer science & engineering,62,4557,1,Telangana,2013,145000
327623,m,1990-09-27,7542,2,B.Tech/B.E.,information technology,74.5,7542,1,Delhi,2012,450000
360992,f,1990-10-24,2342,2,B.Tech/B.E.,electronics and communication engineering,76,2342,1,Tamil Nadu,2012,235000
1044759,m,1992-01-05,13128,2,B.Tech/B.E.,electronics and communication engineering,76.4,13128,1,Delhi,2014,330000
454921,m,1988-10-30,272,2,B.Tech/B.E.,information technology,80,272,0,Punjab,2012,320000
283164,m,1989-06-15,4234,2,B.Tech/B.E.,computer engineering,70.13,4234,0,Uttar Pradesh,2011,715000
1238094,m,1990-09-09,272,2,M.Tech./M.E.,computer science & engineering,88,272,0,Punjab,2015,145000
702081,m,1990-09-20,2027,2,B.Tech/B.E.,electronics and electrical engineering,79.2,2027,0,Haryana,2012,180000
470741,f,1990-08-06,12184,2,B.Tech/B.E.,computer engineering,72.18,12184,0,Madhya Pradesh,2012,180000
1088859,m,1992-06-27,8159,2,B.Tech/B.E.,information technology,69,8159,0,Uttar Pradesh,2014,75000
431891,f,1989-10-09,5232,2,B.Tech/B.E.,computer engineering,71.2,5232,0,Haryana,2012,280000
272323,f,1989-08-24,11537,2,B.Tech/B.E.,computer engineering,73,11537,0,Uttar Pradesh,2011,390000
1008832,m,1992-06-28,6518,2,B.Tech/B.E.,mechanical engineering,71,6518,0,Uttar Pradesh,2013,325000
852303,m,1992-06-07,11490,2,B.Tech/B.E.,electronics and communication engineering,84,11490,0,Andhra Pradesh,2013,300000
794755,f,1992-04-05,13439,2,B.Tech/B.E.,computer science & engineering,74,13439,0,Jharkhand,2014,450000
535627,m,1992-12-17,12290,2,B.Tech/B.E.,information technology,77,12290,0,Himachal Pradesh,2014,505000
612621,m,1992-06-18,12755,2,B.Tech/B.E.,electronics and communication engineering,75,12755,0,Tamil Nadu,2013,240000
797585,m,1989-11-14,7000,2,MCA,computer application,73.14,7000,1,Karnataka,2013,240000
294861,m,1988-12-12,431,2,B.Tech/B.E.,information technology,71,431,0,Tamil Nadu,2010,200000
919485,m,1993-02-28,7376,2,B.Tech/B.E.,computer science & engineering,73.38,7376,0,Uttar Pradesh,2014,450000
328471,m,1990-08-18,55,2,B.Tech/B.E.,electronics and communication engineering,77.7,55,0,Uttar Pradesh,2012,335000
319780,f,1989-01-23,6038,2,B.Tech/B.E.,computer engineering,73.14,6038,0,Uttar Pradesh,2011,310000
190589,f,1987-04-20,4441,1,B.Tech/B.E.,biotechnology,71,4441,0,Madhya Pradesh,2011,450000
31330,m,1986-05-29,2,1,B.Tech/B.E.,information technology,72.13,2,1,Delhi,2010,600000
945679,m,1991-09-27,8440,1,B.Tech/B.E.,ceramic engineering,72,8440,0,Orissa,2014,335000
743559,m,1991-12-13,708,2,B.Tech/B.E.,electronics and communication engineering,70.45,708,0,Karnataka,2013,150000
795018,m,1991-06-26,222,2,MCA,computer application,79.6,222,0,Jharkhand,2014,180000
1288243,m,1992-08-18,23,2,B.Tech/B.E.,information technology,61.6,23,0,Uttar Pradesh,2014,360000
662316,m,1990-12-19,10881,2,B.Tech/B.E.,computer engineering,74.9,10881,1,West Bengal,2013,180000
553393,f,1990-10-24,13210,2,B.Tech/B.E.,electronics and communication engineering,72.3,13210,0,Uttar Pradesh,2013,180000
928178,m,1991-10-08,7736,2,B.Tech/B.E.,information technology,73.8,7736,0,Chhattisgarh,2013,240000
1044834,m,1993-09-26,7542,2,B.Tech/B.E.,computer science & engineering,79.95,7542,1,Delhi,2014,350000
47016,m,1988-02-29,434,2,B.Tech/B.E.,electronics and communication engineering,61,434,1,Tamil Nadu,2010,400000
1255815,m,1993-08-21,14169,2,B.Tech/B.E.,mechanical engineering,60.05,14169,0,Uttar Pradesh,2015,150000
1293567,m,1992-05-27,11848,1,B.Tech/B.E.,computer science & engineering,73,11848,0,Bihar,2015,150000
449905,f,1990-10-12,4450,2,B.Tech/B.E.,computer engineering,76.76,4450,0,Uttar Pradesh,2012,455000
1037712,m,1992-07-10,4979,2,B.Tech/B.E.,electronics and communication engineering,84.1,4979,0,West Bengal,2013,240000
258837,m,1988-07-28,11444,2,B.Tech/B.E.,electrical engineering,71.56,11444,0,Rajasthan,2011,350000
336787,f,1991-06-03,3076,2,B.Tech/B.E.,information technology,89.2,3076,0,Tamil Nadu,2012,385000
509967,m,1990-07-23,11444,2,B.Tech/B.E.,mechanical engineering,73.83,11444,0,Rajasthan,2012,440000
798860,m,1991-09-28,9361,2,MCA,computer application,86,9361,0,Tamil Nadu,2013,380000
334430,m,1989-09-09,1622,2,B.Tech/B.E.,electronics and communication engineering,76.03,1622,0,Madhya Pradesh,2012,420000
331226,f,1991-04-02,9769,2,B.Tech/B.E.,electronics and communication engineering,77.33,9769,1,Telangana,2012,360000
794736,m,1990-11-30,8346,2,B.Tech/B.E.,electronics and electrical engineering,70.6,8346,0,Uttar Pradesh,2014,320000
325423,m,1989-11-16,7172,2,B.Tech/B.E.,computer engineering,67.63,7172,0,Maharashtra,2012,355000
823924,m,1991-09-01,17205,2,B.Tech/B.E.,computer science & engineering,57.5,17205,0,Punjab,2014,180000
244806,m,1989-10-30,2634,2,B.Tech/B.E.,electronics and electrical engineering,75.67,2634,1,Karnataka,2011,490000
206788,m,1987-07-15,144,2,MCA,computer application,69.7,144,0,Uttar Pradesh,2011,300000
803778,m,1992-04-24,7770,2,B.Tech/B.E.,information technology,69.9,7770,0,Madhya Pradesh,2013,2000000
1125281,m,1991-11-01,8819,2,M.Tech./M.E.,computer science & engineering,80,8819,1,Telangana,2015,120000
133803,f,1987-03-06,2066,2,B.Tech/B.E.,electrical engineering,69.97,2066,1,West Bengal,2010,240000
1244355,m,1992-06-08,15866,2,B.Tech/B.E.,computer science & engineering,70,15866,0,Haryana,2014,325000
1204764,m,1993-01-23,2783,2,B.Tech/B.E.,computer science & engineering,66,2783,0,Rajasthan,2014,100000
1187199,m,1988-12-22,3879,2,B.Tech/B.E.,information technology,66.6,3879,0,Madhya Pradesh,2012,180000
1083692,m,1993-03-12,12374,2,B.Tech/B.E.,mechanical engineering,65,12374,0,Punjab,2015,250000
1045625,m,1992-09-11,8440,1,B.Tech/B.E.,metallurgical engineering,73,8440,0,Orissa,2014,300000
662630,m,1991-11-20,9072,2,B.Tech/B.E.,electronics & telecommunications,65,9072,0,Orissa,2013,220000
768298,m,1993-08-17,229,1,B.Tech/B.E.,computer engineering,66.23,229,1,Maharashtra,2015,1500000
212018,f,1988-01-11,5690,2,B.Tech/B.E.,mechanical engineering,70.66,5690,0,Uttar Pradesh,2011,275000
997622,m,1993-09-14,904,2,B.Tech/B.E.,computer science & engineering,72.3,904,1,Karnataka,2014,500000
627921,m,1991-11-15,5238,2,B.Tech/B.E.,electronics and communication engineering,61.9,5238,0,Haryana,2012,510000
856638,m,1993-06-01,226,2,B.Tech/B.E.,mechanical engineering,63,226,1,Maharashtra,2013,185000
514622,m,1990-09-13,6271,2,B.Tech/B.E.,information technology,70.5,6271,0,Uttarakhand,2012,490000
818479,m,1992-09-29,11898,1,B.Tech/B.E.,electronics and communication engineering,91,11898,0,Madhya Pradesh,2014,300000
530225,m,1992-01-14,11759,2,B.Tech/B.E.,electronics and communication engineering,79.67,11759,0,Uttarakhand,2013,410000
390024,m,1991-01-24,10342,2,B.Tech/B.E.,computer engineering,58,10342,1,Karnataka,2012,225000
1297757,m,1988-03-08,708,2,M.Tech./M.E.,electronics and communication engineering,64.95,708,0,Karnataka,2013,100000
336591,f,1991-06-30,3427,2,B.Tech/B.E.,mechanical engineering,78,3427,0,Orissa,2012,330000
1060355,m,1992-09-13,12984,2,B.Tech/B.E.,electronics and communication engineering,72,12984,0,Tamil Nadu,2014,300000
1288236,m,1992-09-14,110,2,B.Tech/B.E.,electronics and communication engineering,70.6,110,0,Haryana,2014,325000
837194,m,1991-10-26,2952,2,B.Tech/B.E.,electronics and communication engineering,67.6,2952,1,Karnataka,2013,310000
593198,m,1991-11-10,12210,2,B.Tech/B.E.,aeronautical engineering,67.1,12210,1,Telangana,2013,120000
817070,m,1989-06-05,4795,2,M.Tech./M.E.,computer science & engineering,70,4795,0,Maharashtra,2013,525000
1072592,m,1991-10-11,2318,2,B.Tech/B.E.,information science engineering,55.9,2318,1,Karnataka,2013,230000
872267,m,1992-03-25,6904,2,B.Tech/B.E.,electronics and electrical engineering,78,6904,1,Tamil Nadu,2014,300000
1183033,f,1993-02-10,5338,2,B.Tech/B.E.,computer science & engineering,70.4,5338,0,Andhra Pradesh,2014,305000
894646,m,1993-05-12,14820,2,B.Tech/B.E.,mechanical engineering,67.66,14820,0,Andhra Pradesh,2014,205000
140069,f,1988-07-25,4437,2,B.Tech/B.E.,computer engineering,78.15,4437,0,Karnataka,2010,320000
207052,m,1988-10-02,49,1,B.Tech/B.E.,electronics and electrical engineering,70,49,0,Uttar Pradesh,2011,510000
1087164,f,1992-08-11,1228,2,B.Tech/B.E.,electronics and electrical engineering,66.43,1228,1,Karnataka,2014,205000
1077918,m,1988-06-04,2665,2,B.Tech/B.E.,electronics & telecommunications,60.14,2665,0,Maharashtra,2013,140000
633445,m,1991-06-05,11630,2,B.Tech/B.E.,mechanical engineering,72.3,11630,0,Uttar Pradesh,2013,360000
227704,f,1990-01-29,2818,2,B.Tech/B.E.,electronics and communication engineering,78.07,2818,1,Telangana,2011,375000
224906,m,1985-10-21,215,2,MCA,computer application,62,215,1,Maharashtra,2011,180000
844474,m,1992-08-13,168,2,B.Tech/B.E.,computer science & engineering,66,168,0,Haryana,2013,195000
430002,m,1991-01-29,1227,2,B.Tech/B.E.,information technology,69.2,1227,1,Tamil Nadu,2012,310000
965223,m,1992-05-22,9062,2,B.Tech/B.E.,electronics and communication engineering,71.77,9062,1,Telangana,2014,325000
813473,f,1992-07-17,15866,2,B.Tech/B.E.,computer science & engineering,65.72,15866,0,Haryana,2012,275000
78936,m,1988-08-24,137,2,B.Tech/B.E.,electronics and communication engineering,65,137,0,Uttar Pradesh,2010,375000
280505,f,1990-03-24,9775,2,B.Tech/B.E.,computer engineering,77.96,9775,1,Telangana,2011,515000
276354,f,1990-01-14,10599,2,B.Tech/B.E.,information technology,82.9,10599,0,Punjab,2011,380000
327206,m,1988-04-07,6196,2,B.Tech/B.E.,computer engineering,49.07,6196,0,Maharashtra,2013,350000
1192794,f,1992-08-06,11554,2,B.Tech/B.E.,information technology,86,11554,0,Maharashtra,2014,265000
624680,f,1992-03-22,6996,2,B.Tech/B.E.,electronics & instrumentation eng,70,6996,1,Tamil Nadu,2013,325000
538185,m,1991-08-17,6196,2,B.Tech/B.E.,electronics engineering,68.87,6196,0,Maharashtra,2013,380000
898205,m,1992-03-24,66,2,B.Tech/B.E.,information technology,71.7,66,0,Uttar Pradesh,2014,340000
